timeSinceStartup,missionElapsedTime,guidanceFrequency,flightMode,pyroState,chuteState,dataLoggingState,telemSendState,telemConnState,battV,servoV,rollMotorV,boardTemp,gyroX,gyroY,gyroZ,alt,oriX,oriY,oriZ,tvcX,tvcY,pyro1Cont,pyro2Cont,pyro3Cont,pyro4Cont,pyro5Cont,pyro1Fire,pyro2Fire,pyro3Fire,pyro4Fire,pyro5Fire
4164,0,nan,1,1,1,0,3,1,11.53,8.34,5.99,0.00,0.00,0.00,0.00,nan,0.00,0.00,0.00,0.00,0.00,0,1,0,0,1,0,0,0,0,0
39547,1,516116.25,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,0.57,-1.72,0.70,-973.58,1386.19,0,1,0,0,1,0,0,0,0,0
39564,18,16.67,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,-0.00,0.00,680.91,-1685.35,0,1,0,0,1,0,0,0,0,0
39639,93,7.41,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,0.00,0.01,-0.82,-0.32,0,1,0,0,1,0,0,0,0,0
39644,98,7.14,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,-0.00,0.01,-0.51,0.68,0,1,0,0,1,0,0,0,0,0
39661,115,6.37,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,-0.00,0.01,-0.38,0.04,0,1,0,0,1,0,0,0,0,0
39667,121,6.13,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,-0.00,0.00,0.58,0.16,0,1,0,0,1,0,0,0,0,0
39684,138,5.56,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,-0.00,0.01,-1.88,-0.44,0,1,0,0,1,0,0,0,0,0
39689,143,5.41,3,0,1,0,3,0,11.52,8.34,5.99,0.00,0.00,0.00,0.00,nan,-0.00,0.00,0.01,-1.96,-0.63,0,1,0,0,1,0,0,0,0,0
39721,175,inf,3,0,1,0,3,0,11.00,8.35,5.94,0.00,0.00,0.00,0.00,nan,-0.00,0.00,0.01,-0.25,0.10,1,1,1,1,1,0,1,0,0,0
39796,250,13.33,3,0,1,0,3,0,11.00,8.35,5.94,0.00,0.00,0.00,0.00,nan,-0.21,-0.03,-0.20,22.38,2.85,1,1,1,1,1,0,1,0,0,0
39801,255,12.50,3,0,1,0,3,0,11.00,8.35,5.94,0.00,0.00,0.00,0.00,nan,-0.23,-0.04,-0.20,10.17,5.95,1,1,1,1,1,0,1,0,0,0
39818,272,10.31,3,0,1,0,3,0,11.00,8.35,5.94,0.00,0.00,0.00,0.00,nan,-0.24,-0.04,-0.20,17.76,1.37,1,1,1,1,1,0,1,0,0,0
39823,277,9.80,3,0,1,0,3,0,11.00,8.35,5.94,0.00,0.00,0.00,0.00,nan,-0.27,-0.04,-0.15,-1.62,3.97,1,1,1,1,1,0,1,0,0,0
